"","x"
"1446",36.68783569
"1447",38.53013229
"1448",51.29668045
"1449",57.86792374
"1450",58.58024979
"1451",58.4120369
"1452",54.79042816
"1453",47.94812012
"1454",46.53452682
"1455",31.361063
"1456",22.27763748
"1457",24.12889862
"1458",25.99601173
"1459",32.48057175
"1460",36.5737381
"1461",42.22188568
"1462",43.7396965
"1463",45.38234329
"1464",49.23545837
"1465",53.16794205
"1466",55.66110992
"1467",51.67663956
"1468",42.89622879
"1469",25.40197372
"1470",23.75329208
"1471",26.77001953
"1472",23.66622734
"1473",27.71011543
"1474",28.61687851
"1475",28.10605621
"1476",27.78456116
"1477",25.66418457
"1478",25.08825874
"1479",25.09999847
"1480",29.16005516
"1481",35.47641754
"1482",33.51323318
"1483",35.09023285
"1484",35.65206528
"1485",35.71678162
"1486",39.41985703
"1487",43.3346405
"1488",41.23775101
"1489",42.70764923
"1490",45.05147934
"1491",46.76285934
"1492",49.37605667
"1493",50.36152649
"1494",48.45457077
"1495",49.65883636
"1496",49.69356155
"1497",50.37379074
"1498",48.94051361
"1499",50.5578804
"1500",50.16734695
